MOF_name,fun,delta_FE,delta_dLM_FE,delta_vdw,delta_ebond,delta_eang,delta_edihe,delta_eimp,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_ucp_v1-3c_B_Ch_v2-4c_Cu_1_Ch_1-1B_2CN_Chnl_1-ntn_edge,2CN,-0.0121792099999993,-0.038369677,-0.318,-0.1059999999999998,0.062,0.4169999999999998,-0.005,0.768025,0.238095238095238,1944.31,3735.2,1.921093025,0.024869264,54.05168,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,2.0
SR_zmj_v1-4c_Cu_1_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_2-1B_2F_Chnl_1-ntn_edge_2-1B_2F_Chnl,2F,-0.7327396099999994,-0.7327396100000001,-0.0110000000000001,-0.0070000000000001,0.0,0.4340000000000001,-0.001,0.865325,0.3009708737864077,1366.03,5155.25,3.773883968,0.014961897,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_fmj_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-4c_Cu_1_Ch_1-1B_2NH2_Chnl_1-ntn_edge_1-1B_2NH2_Chnl_1-ntn_edge,2NH2,-0.1264421100000028,-0.2001028309999999,-0.4130000000000002,-0.2570000000000001,0.0819999999999998,0.3639999999999999,-0.0109999999999999,0.71885,0.2372881355932203,2158.08,3470.0,1.607910922,0.029186881,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_5-1B_2F_Chnl_2-ntn_edge,2F,-0.7266029799999991,-0.7266029789999999,0.0150000000000001,-0.0069999999999996,0.024,0.4499999999999997,0.001,0.772375,0.2745098039215686,2146.7,4539.2,2.114504656,0.021089853,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_mfj_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_2-ntn_edge_1-1B_4F_Chnl_2-ntn_edge,4F,-0.2694102700000016,-0.2694102710000003,-0.3289999999999997,-0.1799999999999997,-0.1189999999999997,1.0339999999999994,0.0389999999999999,0.6916,0.2241379310344827,2594.2,3512.28,1.35389631,0.034087659,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_tfb_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-2B_2CN_Chnl,2CN,-0.6092417800000014,-0.631805882,-0.4790000000000005,-0.0579999999999998,0.2330000000000001,0.5619999999999998,-0.0139999999999999,0.92435,0.3484848484848485,792.061,6629.72,8.370232107,0.007821076,54.05168,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,2.0
SR_hyx_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_2-ntn_edge_1-1B_4CN_Chnl,4CN,0.2439575400000002,0.183267883,0.0669999999999997,0.189,0.0969999999999999,0.447,-0.0429999999999999,0.6418,0.2692307692307692,2619.6,3595.64,1.372593158,0.03767503,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_fjh_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_2-2B_2Br_Chnl,2Br,-1.7207212500000022,-1.720721254,-0.2789999999999994,0.032,0.1639999999999999,1.283,0.002,0.912575,0.3396226415094339,1026.87,6417.89,6.249960938,0.010092201,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_mfj_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_2-ntn_edge_2-1B_2NH2_Chnl_1-ntn_edge,2NH2,-0.6598959200000003,-0.7205855699999999,-0.407,-0.2489999999999996,0.056,-0.0169999999999999,-0.036,0.72205,0.2692307692307692,2376.76,4062.92,1.709439697,0.030251849,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_ucp_v1-3c_B_Ch_v2-4c_Cu_1_Ch_1-2B_4H_Chnl_1-ntn_edge,4H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817325,0.2692307692307692,1669.66,4351.33,2.606121258,0.019844576,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_zmj_v1-4c_Cu_1_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_3-ntn_edge_2-1B_2NH2_Chnl,2NH2,-0.6155508399999974,-0.676240484,-0.4439999999999999,-0.2639999999999998,0.0639999999999998,0.1849999999999996,-0.0269999999999999,0.824775,0.2692307692307692,1631.89,4419.42,2.708162945,0.019096756,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_hbk_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_v4-3c_B_Ch_2-1B_2F_Chnl_2-ntn_edge_1-1B_2F_Chnl,2F,-0.2799147400000024,-0.2799147469999998,0.0889999999999999,0.0219999999999997,0.0310000000000001,0.2469999999999999,0.0,0.81345,0.2771084337349397,1660.49,4410.01,2.655844984,0.019888135,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_1-2B_2CH3_Chnl_1-ntn_edge,2CH3,-0.4353183000000005,-0.4960777869999999,-0.8430000000000002,-0.3159999999999998,0.3899999999999999,0.4180000000000001,-0.0249999999999999,0.54,0.3392857142857143,1976.96,2619.66,1.325094777,0.039116741,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_lqm_v1-3c_B_Ch_v2-4c_Cu_1_Ch_1-1B_2NH2_Chnl_1-ntn_edge,2NH2,-0.2726879400000008,-0.3226879369999995,-0.0129999999999999,-0.1100000000000003,0.1349999999999998,-0.1610000000000004,-0.0219999999999999,0.799675,0.238095238095238,1766.86,3875.16,2.193242182,0.021781926,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_phx_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-2B_2CH3_Chnl,2CH3,-1.1347897499999997,-1.18823104,-2.4109999999999996,-0.258,0.4539999999999999,0.867,-0.0129999999999999,0.860225,0.3484848484848485,1674.26,6553.24,3.914108797,0.014498642,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_fog_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-2B_4CN_Chnl,4CN,0.0650610799999995,0.025242076,0.3570000000000002,0.209,0.167,0.726,-0.0259999999999999,0.92525,0.3484848484848485,852.089,6612.19,7.759998758,0.007128788,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_1-ntn_edge_1-1B_2NO2_Chnl_3-ntn_edge_1-1B_2NO2_Chnl_1-ntn_edge,2NO2,-0.7167195299999989,-0.789338785,-0.1,-0.2140000000000004,-0.0419999999999998,0.6920000000000002,-0.0429999999999999,0.643975,0.2337662337662337,2749.19,3578.93,1.301813817,0.030689707,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
SR_mfj_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_2-1B_4CN_Chnl_1-ntn_edge_2-1B_4CN_Chnl,4CN,0.4708671899999999,0.4135142599999999,-0.0110000000000001,0.0049999999999998,0.0809999999999999,1.394,-0.0239999999999999,0.85305,0.3097345132743362,1537.04,5375.69,3.497420652,0.016564906,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_fjh_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_1-1B_2SH_Chnl_1-ntn_edge,2SH,-0.2014307299999984,-0.242784109,-0.3860000000000001,-0.1200000000000001,0.163,1.384,-0.0069999999999999,0.782925,0.2784810126582278,2258.16,4813.93,2.131791622,0.024543872,68.16168,1.0,1260.62572752,1.78592,959.35253984,1.40733,1.9477,0.03,-0.38,1.330512,3.271,4.0
SR_zmj_v1-4c_Cu_1_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_1-ntn_edge_2-1B_4H_Chnl_1-ntn_edge_1-1B_4H_Chnl,4H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766725,0.2771084337349397,2133.01,4444.1,2.083489595,0.025349987,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_zmj_v1-4c_Cu_1_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_1-1B_2Br_Chnl_1-ntn_edge_1-1B_2Br_Chnl_1-ntn_edge_1-1B_2Br_Chnl,2Br,-1.0852936600000014,-1.085293659,-0.4649999999999998,-0.036,0.0709999999999999,1.2999999999999998,-0.001,0.814425,0.2959183673469387,1865.51,5038.26,2.700746486,0.020606402,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
