MOF_name,fun,delta_FE,delta_dLM_FE,delta_SE,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_2SH_Chnl,2SH,-0.6333533399999993,-0.671547777,1.490733801622719,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,68.16168,1.0,1260.62572752,1.78592,959.35253984,1.40733,1.9477,0.03,-0.38,1.330512,3.271,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_4Br_Chnl,4Br,-0.6452474099999996,-0.645247401,3.848849782153089,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,319.616,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_4CN_Chnl,4CN,0.580268499999999,0.5115185000000001,1.776445555264896,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_4F_Chnl,4F,-1.7514701400000003,-1.75147014,0.9432894608856586,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_4H_Chnl,4H,0.0,0.0,0.0,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2Br_Chnl,2Br,-1.449110580000001,-1.4491105759999998,1.327542325726956,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2CF3_Chnl,2CF3,-2.021286220000002,-2.08808783,0.603870039104347,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2CH3_Chnl,2CH3,-0.3730074099999996,-0.439809022,-0.4898627221958396,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2CN_Chnl,2CN,-0.363309110000003,-0.391514227,0.3987992792099382,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,54.05168,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2F_Chnl,2F,-1.033322570000001,-1.033322564,0.5246801447650746,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2NH2_Chnl,2NH2,-0.4522767600000001,-0.502050517,0.2513720581978722,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2NO2_Chnl,2NO2,0.0887082899999995,0.0389345319999999,2.244832199319964,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2OH_Chnl,2OH,-0.7349311100000016,-0.763136228,0.322396289028938,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,36.02968,1.0,2395.17435544,1.36631,2342.81619784,0.99025,1.6062,0.89,-1.24,0.435136,3.066,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_2SH_Chnl,2SH,-0.8310334499999996,-0.859238566,1.5142631050747024,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,68.16168,1.0,1260.62572752,1.78592,959.35253984,1.40733,1.9477,0.03,-0.38,1.330512,3.271,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_4Br_Chnl,4Br,-1.9567281000000012,-1.9567281,3.5988560292787355,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,319.616,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_4CN_Chnl,4CN,0.2122938999999988,0.162520143,1.4457515998457158,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-2B_4F_Chnl,4F,-2.173939960000002,-2.173939958,1.126882633874267,0.94265,0.3396226415094339,649.522,6383.75,9.828396202,0.005293835,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_4H_Chnl_1-ntn_edge,4H,0.0,0.0,0.0,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
